,date,Tn,Tx,Tavg,RH_avg,RR,ss,ff_x,ddd_x,ff_avg,ddd_car,station_id,station_name,region_name,latitude,longitude,region_id,province_id,province_name
283973,01-01-2010,19.0,28.0,23.0,86.0,2.3,2.6,3.0,270.0,0.0,W ,96783,Stasiun Geofisika Bandung,Kota Bandung,-6.88356,107.59733,177,12,Jawa Barat
283974,02-01-2010,20.0,29.0,22.9,86.0,21.0,4.1,4.0,180.0,1.0,W ,96783,Stasiun Geofisika Bandung,Kota Bandung,-6.88356,107.59733,177,12,Jawa Barat
283975,03-01-2010,20.0,29.0,22.7,91.0,72.4,3.4,2.0,270.0,0.0,W ,96783,Stasiun Geofisika Bandung,Kota Bandung,-6.88356,107.59733,177,12,Jawa Barat
283976,04-01-2010,20.0,28.5,22.7,87.0,1.7,3.5,4.0,270.0,0.0,W ,96783,Stasiun Geofisika Bandung,Kota Bandung,-6.88356,107.59733,177,12,Jawa Barat
283977,05-01-2010,20.0,28.2,23.0,87.0,2.4,3.0,4.0,315.0,0.0,W ,96783,Stasiun Geofisika Bandung,Kota Bandung,-6.88356,107.59733,177,12,Jawa Barat
283978,06-01-2010,20.0,28.0,22.7,89.0,15.9,4.2,3.0,315.0,1.0,NE,96783,Stasiun Geofisika Bandung,Kota Bandung,-6.88356,107.59733,177,12,Jawa Barat
283979,07-01-2010,19.0,27.6,21.5,85.0,19.0,3.9,3.0,45.0,0.0,NE,96783,Stasiun Geofisika Bandung,Kota Bandung,-6.88356,107.59733,177,12,Jawa Barat
283980,08-01-2010,19.0,26.0,21.5,88.0,86.0,2.7,2.0,270.0,0.0,W ,96783,Stasiun Geofisika Bandung,Kota Bandung,-6.88356,107.59733,177,12,Jawa Barat
283981,09-01-2010,20.0,27.2,22.2,86.0,0.0,1.3,4.0,270.0,1.0,W ,96783,Stasiun Geofisika Bandung,Kota Bandung,-6.88356,107.59733,177,12,Jawa Barat
283982,10-01-2010,20.0,27.4,22.1,87.0,4.2,2.4,4.0,270.0,1.0,W ,96783,Stasiun Geofisika Bandung,Kota Bandung,-6.88356,107.59733,177,12,Jawa Barat
283983,11-01-2010,20.0,28.0,23.4,82.0,8.0,3.0,4.0,270.0,2.0,W ,96783,Stasiun Geofisika Bandung,Kota Bandung,-6.88356,107.59733,177,12,Jawa Barat
